ID,county,district,FirstDose,SecondDose,PercentFirstDose,PercentSecondDose,SingleDose,PercentSingleDose,FullyVaccinated,PercentFullyVaccinated,AtLeastOneVaccine,PercentAtLeastOneVaccine
1,Allegany,6,29264,26478,41.559,37.602,3304,4.692,29782,42.294,32568,46.251
2,Anne Arundel,5,341781,313873,59.006,54.188,24137,4.167,338010,58.355,365918,63.173
3,Baltimore,4,491576,450885,59.414,54.496,36152,4.37,487037,58.866,527728,63.784
4,Baltimore City,0,315272,279841,53.122,47.152,20366,3.432,300207,50.583,335638,56.553
5,Calvert,5,51516,47075,55.678,50.878,3751,4.054,50826,54.932,55267,59.732
6,Caroline,2,13866,12498,41.508,37.412,3073,9.199,15571,46.611,16939,50.706
7,Carroll,7,97336,90411,57.784,53.673,9791,5.813,100202,59.486,107127,63.597
8,Cecil,2,45645,41274,44.378,40.128,3592,3.492,44866,43.621,49237,47.87
9,Charles,5,85514,76967,52.38,47.145,5221,3.198,82188,50.343,90735,55.578
10,Dorchester,1,14817,13177,46.406,41.27,2228,6.978,15405,48.248,17045,53.384
11,Frederick,7,152904,141225,58.912,54.412,16646,6.413,157871,60.826,169550,65.325
12,Garrett,6,11450,10412,39.464,35.886,917,3.161,11329,39.047,12367,42.624
13,Harford,4,141722,130715,55.481,51.172,13001,5.09,143716,56.262,154723,60.571
14,Howard,7,228194,213632,70.065,65.594,14188,4.356,227820,69.95,242382,74.421
15,Kent,2,11083,10143,57.064,52.224,929,4.783,11072,57.008,12012,61.847
16,Montgomery,3,712166,654756,67.781,62.317,46237,4.401,700993,66.718,758403,72.182
17,Prince George's,3,489505,432283,53.832,47.539,29739,3.27,462022,50.809,519244,57.102
18,Queen Anne's,2,27387,25187,54.36,49.993,2543,5.048,27730,55.041,29930,59.407
19,Somerset,1,10434,9058,40.732,35.361,1058,4.13,10116,39.491,11492,44.863
20,St. Mary's,5,56525,51974,49.797,45.788,3461,3.049,55435,48.837,59986,52.846
21,Talbot,2,21959,20154,59.06,54.205,2959,7.958,23113,62.163,24918,67.018
22,Washington,6,63572,57572,42.087,38.115,10966,7.26,68538,45.375,74538,49.347
23,Wicomico,1,46675,42007,45.049,40.544,4041,3.9,46048,44.444,50716,48.949
24,Worcester,1,30779,27946,58.878,53.459,2562,4.901,30508,58.359,33341,63.779
