county,county_fips,lat,lng,population
Montgomery,24031,39.1363,-77.2042,1043530
Prince George's,24033,38.8295,-76.8473,908670
Baltimore,24005,39.4627,-76.6393,828018
Baltimore City,24510,39.3051,-76.6144,609032
Anne Arundel,24003,39.0065,-76.6051,571275
Howard,24027,39.2507,-76.9312,318855
Harford,24025,39.5611,-76.3171,252222
Frederick,24021,39.4722,-77.398,251422
Carroll,24013,39.5629,-77.0225,167699
Charles,24017,38.5073,-76.9922,159428
Washington,24043,39.6036,-77.814,150109
St. Mary's,24037,38.3024,-76.6058,112290
Cecil,24015,39.5712,-75.9407,102552
Wicomico,24045,38.3733,-75.6208,102539
Calvert,24009,38.5434,-76.5687,91511
Allegany,24001,39.6215,-78.6976,71445
Worcester,24047,38.2128,-75.334,51765
Queen Anne's,24035,39.068,-76.0203,49632
Talbot,24041,38.7713,-76.0971,37167
Caroline,24011,38.8717,-75.8316,33049
Dorchester,24019,38.4829,-76.0125,32138
Garrett,24023,39.5289,-79.2729,29235
Somerset,24039,38.1158,-75.7518,25729
Kent,24029,39.2545,-76.0399,19536
