county,county_fips,latitude,longitude,population,first_dose,second_dose,per_first_dose,per_second_dose,single_dose,per_single_dose,fully_vaccinated,per_fully_vaccinated
Montgomery,24031,39.1363,-77.2042,1043530,29264,26478,41.559,37.602,3304,4.692,29782,42.294
Prince George's,24033,38.8295,-76.8473,908670,341781,313873,59.006,54.188,24137,4.167,338010,58.355
Baltimore,24005,39.4627,-76.6393,828018,491576,450885,59.414,54.496,36152,4.37,487037,58.866
Baltimore City,24510,39.3051,-76.6144,609032,315272,279841,53.122,47.152,20366,3.432,300207,50.583
Anne Arundel,24003,39.0065,-76.6051,571275,51516,47075,55.678,50.878,3751,4.054,50826,54.932
Howard,24027,39.2507,-76.9312,318855,13866,12498,41.508,37.412,3073,9.199,15571,46.611
Harford,24025,39.5611,-76.3171,252222,97336,90411,57.784,53.673,9791,5.813,100202,59.486
Frederick,24021,39.4722,-77.398,251422,45645,41274,44.378,40.128,3592,3.492,44866,43.621
Carroll,24013,39.5629,-77.0225,167699,85514,76967,52.38,47.145,5221,3.198,82188,50.343
Charles,24017,38.5073,-76.9922,159428,14817,13177,46.406,41.27,2228,6.978,15405,48.248
Washington,24043,39.6036,-77.814,150109,152904,141225,58.912,54.412,16646,6.413,157871,60.826
St. Mary's,24037,38.3024,-76.6058,112290,11450,10412,39.464,35.886,917,3.161,11329,39.047
Cecil,24015,39.5712,-75.9407,102552,141722,130715,55.481,51.172,13001,5.09,143716,56.262
Wicomico,24045,38.3733,-75.6208,102539,228194,213632,70.065,65.594,14188,4.356,227820,69.95
Calvert,24009,38.5434,-76.5687,91511,11083,10143,57.064,52.224,929,4.783,11072,57.008
Allegany,24001,39.6215,-78.6976,71445,712166,654756,67.781,62.317,46237,4.401,700993,66.718
Worcester,24047,38.2128,-75.334,51765,489505,432283,53.832,47.539,29739,3.27,462022,50.809
Queen Anne's,24035,39.068,-76.0203,49632,27387,25187,54.36,49.993,2543,5.048,27730,55.041
Talbot,24041,38.7713,-76.0971,37167,10434,9058,40.732,35.361,1058,4.13,10116,39.491
Caroline,24011,38.8717,-75.8316,33049,56525,51974,49.797,45.788,3461,3.049,55435,48.837
Dorchester,24019,38.4829,-76.0125,32138,21959,20154,59.06,54.205,2959,7.958,23113,62.163
Garrett,24023,39.5289,-79.2729,29235,63572,57572,42.087,38.115,10966,7.26,68538,45.375
Somerset,24039,38.1158,-75.7518,25729,46675,42007,45.049,40.544,4041,3.9,46048,44.444
Kent,24029,39.2545,-76.0399,19536,30779,27946,58.878,53.459,2562,4.901,30508,58.359
